classe,precision_avant,recall_avant,f1_avant,support_avant,precision_apres,recall_apres,f1_apres,support_apres,delta_f1
changing,0.0,0.0,0.0,321,0.0,0.0,0.0,321,0.0
chevron,0.0,0.0,0.0,151,0.0,0.0,0.0,151,0.0
cigar,0.596,0.44345238095238093,0.5085324232081911,336,0.0,0.0,0.0,336,-0.5085324232081911
circle,0.4188034188034188,0.19321766561514195,0.26443604964921746,1268,0.33527131782945735,0.13643533123028392,0.19394618834080718,1268,-0.07048986130841028
cone,0.0,0.0,0.0,55,0.0,0.0,0.0,55,0.0
cross,0.0,0.0,0.0,40,0.0,0.0,0.0,40,0.0
cylinder,0.0,0.0,0.0,207,0.0,0.0,0.0,207,0.0
diamond,0.43243243243243246,0.24489795918367346,0.3127035830618892,196,0.0,0.0,0.0,196,-0.3127035830618892
disk,0.47848898216159497,0.5061043285238623,0.4919093851132686,901,0.25732899022801303,0.5260821309655938,0.3456069996354357,901,-0.14630238547783292
egg,0.0,0.0,0.0,127,0.0,0.0,0.0,127,0.0
fireball,0.6805555555555556,0.5472081218274112,0.606640405177265,985,0.3882978723404255,0.14822335025380712,0.2145481263776635,985,-0.3920922787996015
flash,0.0,0.0,0.0,221,0.0,0.0,0.0,221,0.0
formation,0.0,0.0,0.0,398,0.0,0.0,0.0,398,0.0
light,0.3828197945845005,0.917568071615069,0.5402437685297025,2681,0.3386476868327402,0.8873554643789631,0.49021223985163814,2681,-0.05003152867806432
oval,0.4907749077490775,0.215210355987055,0.2992125984251969,618,0.16,0.006472491909385114,0.012441679626749611,618,-0.28677091879844724
rectangle,0.0,0.0,0.0,212,0.36363636363636365,0.018867924528301886,0.03587443946188341,212,0.03587443946188341
sphere,0.7207446808510638,0.31402085747392816,0.4374495560936239,863,0.0,0.0,0.0,863,-0.4374495560936239
teardrop,0.0,0.0,0.0,122,0.0,0.0,0.0,122,0.0
triangle,0.7046204620462047,0.6703296703296703,0.6870474658085277,1274,0.5211864406779662,0.4827315541601256,0.5012224938875306,1274,-0.18582497192099712
